Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Daily meals frequency,Carbs,Proteins,Fats,Calories,meal_name,meal_type,diet_type,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min,rating,Name of Exercise,Sets,Reps,Benefit,Burns Calories (per 30 min),Target Muscle Group,Equipment Needed,Difficulty Level,Body Part,Type of Muscle,Workout,BMI_calc,cal_from_macros,pct_carbs,protein_per_kg,pct_HRR,pct_maxHR,cal_balance,lean_mass_kg,expected_burn,Burns Calories (per 30 min)_bc,Burns_Calories_Bin,BMI_Calc_Check,Burn Efficiency (Cal/Hr)
31,Female,77.23,1.77,166,130,62,1,1017,Yoga,24,2.6,4,2,24.6,4,285.78,114.16,76.14,2151,Other,Snack,Paleo,34.43,1223.94,250.63,358.08,Grilled,30.09,15.53,3.1,Flutter Kicks,5,15,Builds shoulder width,350.6,"Rear Deltoids, Upper Back",Resistance Band or Cable Machine,Intermediate,Forearms,Quads,Decline cable crossovers,24.65,2285.02,0.5,1.48,0.65,0.78,1134.11,58.54,988.69,8.77e+19,High,24.651281560215775,1017.0
42,Female,45.09,1.6,166,163,64,1,1268,Cardio,24,2.6,3,2,17.6,3,267.23,106.12,70.8,1300,Other,Lunch,Paleo,14.85,152.53,263.8,343.34,Fried,13.85,32.08,2.0,Bulgarian Split Squats,3,12,Isolates and strengthens triceps,178.93,"Triceps, Chest",Dumbbells,Intermediate,Shoulders,Quads,Standing calf raises,17.61,2130.6,0.5,2.35,0.97,0.98,31.74,34.46,472.38,3.63e+17,Low,17.613281249999996,1268.0
41,Female,81.32,1.87,167,129,59,2,2670,HIIT,24,3.5,5,3,23.2,3,314.38,125.82,84.46,2165,Other,Dinner,Paleo,38.57,1220.61,154.0,406.04,Baked,60.6,49.44,1.2,Pull-ups,5,19,Strengthens lower abs and hip flexors,345.11,"Rear Deltoids, Upper Back",Bench or Sturdy Surface,Beginner,Legs,Lateral,Plate pinch,23.25,2520.94,0.5,1.55,0.65,0.77,-504.99,61.46,1290.71,7.71e+19,Medium,23.254882896279558,1335.0
52,Male,105.02,1.99,187,130,67,1,818,Cardio,28,2.0,2,1,26.5,3,288.92,116.05,77.38,2536,Other,Dinner,Paleo,47.48,1335.11,242.57,435.94,Grilled,26.75,60.78,4.0,Face Pulls,5,23,Targets abdominal muscles,373.37,Quadriceps,Resistance Band or Cable Machine,Intermediate,Chest,Lower,Dumbbell front raises,26.52,2316.3,0.5,1.11,0.53,0.7,1718.34,75.75,694.47,1.47e+20,Very High,26.519532335042044,818.0
37,Female,73.46,1.76,192,121,52,1,879,Yoga,28,1.9,3,2,23.7,2,212.01,84.99,56.5,2147,Other,Dinner,Keto,18.45,1893.05,202.16,336.49,Baked,24.27,102.33,1.3,Tricep Extensions,4,18,Builds chest strength,332.02,"Full Body, Core, Shoulders",Wall,Intermediate,Abs,Anterior,Incline cable crossovers,23.72,1696.5,0.5,1.16,0.5,0.63,1267.87,53.25,810.13,5.62e+19,Low,23.71513429752066,879.0
39,Male,58.99,1.93,165,136,58,1,1457,Strength,16,3.7,4,2,15.8,3,258.1,103.62,68.68,1689,Other,Lunch,Paleo,40.61,1848.56,293.94,494.93,Raw,40.39,101.12,4.6,Prone Cobras,5,23,Improves balance and coordination,333.92,"Shoulders, Upper Back",None or Dumbbell,Intermediate,Back,Anterior,Crunches,15.84,2065.0,0.5,1.76,0.73,0.82,232.22,49.29,901.58,5.89e+19,Low,15.836666756154528,1457.0
23,Female,86.85,1.91,164,129,58,2,1465,Yoga,25,3.5,5,3,23.8,2,201.34,81.19,54.3,2433,Other,Dinner,Balanced,43.72,706.43,134.86,330.12,Raw,49.49,18.2,1.2,Plyometric Push-ups,4,24,Improves hip power and cardiovascular fitness,346.71,"Back, Core, Shoulders",Cable Machine,Advanced,Arms,Wrist Flexors,Seated calf raises,23.81,1618.82,0.5,0.93,0.67,0.79,967.73,64.94,1303.63,8.01e+19,Medium,23.80691318768674,732.5
21,Male,89.27,1.6,198,121,67,2,1780,Cardio,35,3.5,4,3,34.9,3,298.39,119.41,79.39,2414,Other,Dinner,Vegan,12.1,2165.64,205.9,401.77,Baked,51.01,108.45,2.3,Squats,4,19,Improves balance and coordination,333.93,"Back, Biceps","Bench, Barbell",Beginner,Forearms,Middle,Dumbbell curls,34.87,2385.71,0.5,1.34,0.42,0.61,634.23,58.07,1142.04,5.89e+19,Low,34.87109374999999,890.0
42,Male,57.48,1.57,167,122,52,2,1427,Yoga,25,2.7,4,3,23.3,3,296.89,118.26,78.33,1683,Other,Breakfast,Vegetarian,39.07,236.08,142.89,367.81,Grilled,25.25,64.08,1.5,Zottman Curls,5,16,Strengthens triceps and chest,331.38,"Triceps, Chest",Box or Platform,Advanced,Legs,Wrist Flexors,Hanging leg raises,23.32,2365.57,0.5,2.06,0.61,0.73,255.6,43.02,1212.85,5.53e+19,Low,23.319404438313924,713.5
45,Female,59.04,1.51,169,142,65,1,1243,Strength,28,1.9,4,2,25.9,3,236.32,93.75,62.99,1608,Other,Lunch,Vegetarian,25.44,2431.71,54.0,109.39,Roasted,22.93,110.07,3.6,Seated Rows,4,25,Builds chest strength,331.45,"Obliques, Core",Low Bar or TRX,Beginner,Shoulders,Upper,Triceps pushdowns,25.89,1887.19,0.5,1.59,0.74,0.84,364.96,42.38,762.34,5.54e+19,Low,25.893601157843953,1243.0
52,Female,86.0,1.8,190,136,66,2,1986,Strength,29,3.5,5,3,26.5,3,211.41,85.9,57.13,2402,Other,Breakfast,Vegetarian,32.46,1483.89,105.99,118.26,Grilled,60.24,48.08,2.0,Jumping Jacks,5,21,Targets obliques and improves core rotation,361.44,"Glutes, Hamstrings",Resistance Band,Beginner,Back,Quads,Bent-over lateral raises,26.54,1703.41,0.5,1.0,0.57,0.72,416.06,60.87,1228.9,1.12e+20,Very High,26.54320987654321,993.0
37,Female,76.44,1.77,180,128,57,1,1794,HIIT,26,2.1,4,2,24.4,3,232.9,92.9,62.34,1962,Other,Lunch,Vegetarian,27.83,434.68,273.48,366.49,Steamed,38.75,39.28,4.9,Step-ups,5,17,Strengthens back and legs,355.42,Shoulders,Cable Machine or Resistance Band,Intermediate,Legs,Lateral,Bent-over rows,24.4,1864.26,0.5,1.22,0.58,0.71,168.3,56.89,966.74,9.81e+19,High,24.39911902709949,1794.0
31,Male,53.08,1.76,172,133,69,1,1162,Cardio,22,1.8,4,2,17.1,2,172.9,68.67,46.13,1545,Other,Dinner,Paleo,28.12,1287.85,33.56,213.73,Steamed,21.43,15.56,1.0,Tricep Extensions,4,24,Improves flexibility,363.78,"Back, Hamstrings, Glutes",Parallel Bars or Chair,Intermediate,Shoulders,Quads,Seated cable rows,17.14,1381.45,0.5,1.29,0.62,0.77,383.4,41.58,880.35,1.19e+20,Very High,17.135847107438018,1162.0
46,Male,108.62,1.64,185,169,63,1,1386,Strength,35,3.4,3,1,40.4,4,257.73,103.32,68.58,2996,Other,Snack,Balanced,30.67,135.53,0.34,244.49,Raw,18.62,77.62,1.6,Reverse Lunges,4,19,Improves shoulder health and posture,363.48,"Triceps, Chest",Bench or Step,Beginner,Chest,Lower,Skull crushers,40.39,2061.42,0.5,0.95,0.87,0.92,1610.0,70.6,1017.74,1.18e+20,Very High,40.38518738845926,1386.0
53,Female,94.04,1.95,177,138,50,1,1066,HIIT,28,3.5,3,1,24.7,3,163.19,65.19,42.98,2542,Other,Lunch,Paleo,49.63,1514.62,149.74,437.43,Steamed,54.15,44.71,4.5,Superman,4,19,Improves hip power and cardiovascular fitness,370.32,"Triceps, Chest",Barbell,Advanced,Arms,Anterior,Decline dumbbell press,24.73,1300.34,0.5,0.69,0.69,0.78,1476.23,68.0,651.76,1.37e+20,Very High,24.731097961867196,1066.0
30,Female,60.26,1.55,172,119,52,1,1716,HIIT,25,1.6,3,2,25.1,3,196.84,80.06,52.93,1587,Other,Snack,Low-Carb,43.86,1624.93,220.56,465.86,Grilled,7.93,70.29,4.6,Decline Push-ups,4,25,Targets biceps and forearms,363.54,"Triceps, Chest",Kettlebell,Intermediate,Arms,Lats,Dumbbell flyes,25.08,1583.97,0.5,1.33,0.56,0.69,-129.0,44.9,945.2,1.18e+20,Very High,25.08220603537981,1716.0
21,Female,100.38,1.84,181,132,50,1,1298,Strength,32,3.3,2,1,29.6,3,170.41,67.55,45.33,2677,Other,Lunch,Paleo,11.19,1500.23,286.42,469.69,Baked,40.06,37.54,2.3,Rows,4,20,Combines lower body and upper body strength,375.87,Lower Abs,Low Bar or TRX,Intermediate,Forearms,Middle,Bent-over lateral raises,29.65,1359.81,0.5,0.67,0.62,0.73,1378.92,68.21,984.78,1.55e+20,Very High,29.64910207939508,1298.0
29,Female,87.41,1.86,177,123,72,2,1580,Cardio,28,3.5,4,3,25.3,3,169.2,66.38,44.85,2358,Other,Lunch,Vegetarian,25.94,1694.41,100.43,454.45,Boiled,48.73,28.77,4.9,Superman,4,16,Builds shoulder width,363.34,"Back, Core, Shoulders",Barbell,Beginner,Back,Posterior,Incline dumbbell flyes,25.27,1345.97,0.5,0.76,0.49,0.7,778.42,63.37,1104.55,1.17e+20,Very High,25.26592669672794,790.0
32,Female,84.31,1.74,195,127,63,1,1437,Strength,31,2.1,3,1,27.8,3,183.89,74.06,48.99,2360,Other,Dinner,Paleo,38.96,851.48,30.36,383.43,Boiled,18.04,15.12,2.9,Plank,4,19,Targets lower chest,363.17,Full Core,Low Bar or TRX,Beginner,Chest,Wrist Flexors,Face pulls,27.85,1472.71,0.5,0.88,0.48,0.65,923.2,58.31,1053.19,1.17e+20,Very High,27.84713964856652,1437.0
31,Female,48.74,1.51,195,131,60,1,1292,Cardio,25,2.0,2,1,21.4,3,228.96,92.4,61.34,1307,Other,Breakfast,Low-Carb,41.28,1970.89,268.33,193.34,Steamed,21.68,73.75,3.7,Jumping Jacks,3,12,Improves cardiovascular fitness,165.32,"Lower Chest, Triceps",None or Dumbbells,Intermediate,Forearms,Lower Chest,Barbell squats,21.38,1837.5,0.5,1.9,0.53,0.67,14.58,36.43,486.04,1.91e+17,Low,21.376255427393534,1292.0
26,Female,110.74,1.9,191,167,57,1,1019,Strength,33,2.2,2,1,30.7,2,178.76,72.37,48.07,2868,Other,Dinner,Paleo,45.72,1233.9,18.86,338.29,Grilled,32.07,7.8,2.6,Burpees,5,19,Improves shoulder health and posture,360.61,"Chest, Triceps",Dumbbells or Barbell,Advanced,Forearms,Wrist Extensors,Donkey kicks,30.68,1437.15,0.5,0.65,0.82,0.88,1849.23,74.03,742.86,1.1e+20,Very High,30.67590027700831,1019.0
32,Female,84.22,1.74,195,127,63,1,1754,HIIT,29,2.1,3,1,27.8,3,185.31,74.04,49.32,2329,Other,Dinner,Balanced,38.64,854.2,32.39,385.0,Roasted,17.85,16.36,2.9,Leg Press,4,19,Improves hip power and cardiovascular fitness,362.54,"Lower Abs, Hip Flexors",Kettlebell,Beginner,Abs,Triceps,Chest flyes,27.82,1481.28,0.5,0.88,0.49,0.65,574.5,59.82,1051.37,1.15e+20,Very High,27.8174131325142,1754.0
23,Male,44.19,1.62,196,122,58,1,689,HIIT,22,2.7,2,1,16.8,3,259.94,104.07,69.0,1055,Other,Lunch,Keto,44.43,1430.26,152.01,338.68,Steamed,14.7,19.4,3.0,Tricep Extensions,4,24,Strengthens lower abs and hip flexors,348.41,"Obliques, Core","Bench, Barbell",Intermediate,Chest,Lower,Plate pinch,16.84,2077.04,0.5,2.36,0.47,0.62,365.93,34.52,397.19,8.33e+19,Medium,16.83813443072702,689.0
49,Female,70.3,1.67,186,166,50,1,1137,HIIT,24,1.8,3,1,25.2,3,167.3,67.83,44.12,1925,Other,Snack,Vegan,26.21,901.9,77.8,473.15,Grilled,14.88,48.06,1.2,Decline Push-ups,4,17,Improves posture and back strength,350.5,"Legs, Core",Box or Platform,Beginner,Abs,Lats,Skull crushers,25.21,1337.6,0.5,0.96,0.85,0.89,787.6,53.2,658.94,8.75e+19,High,25.20707088816379,1137.0
28,Male,85.11,1.79,182,139,55,1,1778,HIIT,28,2.3,4,2,26.6,2,164.34,66.18,44.55,2321,Other,Dinner,Vegan,39.27,876.9,135.78,430.04,Grilled,40.48,17.16,1.5,Seated Rows,5,16,Strengthens lower body,347.86,"Quadriceps, Glutes",Bench or Sturdy Surface,Advanced,Back,Wrist Extensors,Dumbbell front raises,26.56,1323.03,0.5,0.78,0.66,0.76,543.46,61.47,939.22,8.23e+19,Medium,26.56284135950813,1778.0
22,Female,61.58,1.52,169,166,61,2,2144,Strength,26,2.7,5,3,26.6,3,305.07,122.45,81.47,1779,Other,Lunch,Vegan,2.04,129.53,171.51,183.35,Grilled,20.96,56.39,4.5,Leg Press,5,21,Builds lower body power and endurance,362.62,"Core, Lower Back",Parallel Bars or Chair,Advanced,Abs,Wrist Flexors,Seated cable rows,26.65,2443.31,0.5,1.99,0.97,0.98,-365.39,45.51,1327.19,1.16e+20,Very High,26.653393351800553,1072.0
25,Male,40.94,1.67,186,138,71,1,734,Yoga,18,2.4,3,2,14.7,3,298.37,120.01,79.24,907,Other,Dinner,Vegan,31.14,616.14,130.28,225.61,Fried,8.42,42.87,4.7,Box Jumps,5,22,Improves posture and back strength,362.78,"Core, Obliques",Bench or Step,Advanced,Shoulders,Triceps,Incline dumbbell press,14.68,2386.68,0.5,2.93,0.59,0.75,173.21,33.69,740.07,1.16e+20,Very High,14.679622790347448,734.0
51,Male,48.56,1.77,199,155,74,1,1294,Cardio,15,3.5,2,1,15.5,2,387.46,155.24,103.3,1282,Other,Dinner,Paleo,30.6,2438.06,246.15,498.16,Grilled,38.98,38.35,2.2,Jumping Jacks,4,16,Advanced core exercise,334.23,"Rear Deltoids, Upper Back",Barbell,Intermediate,Shoulders,Grip Strength,Standing calf raises,15.5,3100.5,0.5,3.2,0.65,0.78,-11.6,41.04,982.64,5.94e+19,Low,15.500015959653995,1294.0
23,Male,57.48,1.71,179,149,58,1,821,Yoga,19,3.4,3,2,19.7,3,179.82,71.89,48.18,1722,Other,Breakfast,Vegetarian,49.8,1148.9,35.09,278.6,Boiled,21.42,38.61,1.4,Calf Raises,4,22,Advanced core exercise,338.7,Triceps,Cable Machine or Resistance Band,Advanced,Forearms,Posterior,Triceps dips,19.66,1440.46,0.5,1.25,0.75,0.83,901.2,46.29,772.24,6.62e+19,Medium,19.65733046065456,821.0
49,Male,60.97,1.87,180,131,61,1,827,Yoga,23,3.0,4,2,17.4,2,198.45,79.92,53.19,1590,Other,Dinner,Paleo,25.78,401.78,33.72,353.14,Fried,19.09,88.51,2.4,Dips,4,25,Strengthens core and improves mobility,335.66,Quadriceps,Bench or Sturdy Surface,Intermediate,Back,Lats,Chest flyes,17.44,1592.19,0.5,1.31,0.58,0.72,763.38,46.87,772.02,6.15e+19,Low,17.43544282078412,827.0
46,Male,109.01,1.64,185,169,63,1,1234,Cardio,35,3.4,3,1,40.5,4,257.69,104.16,68.78,2842,Other,Breakfast,Vegan,30.67,145.77,-2.74,241.07,Grilled,19.01,76.77,1.6,Turkish Get-ups,4,19,Advanced core exercise,362.68,"Core, Shoulders, Hips",Barbell,Beginner,Legs,Lateral,Bicycle crunches,40.53,2066.42,0.5,0.96,0.87,0.92,1607.76,70.86,1015.5,1.16e+20,Very High,40.530190362879246,1234.0
23,Male,116.79,1.79,178,127,69,1,958,Cardio,35,3.4,4,2,36.4,2,294.22,117.08,77.98,2931,Other,Snack,Vegan,1.22,1435.84,171.22,134.38,Steamed,12.82,91.09,3.0,Flutter Kicks,5,17,Improves back strength and posture,347.89,"Lower Abs, Hip Flexors",Resistance Band or Cable Machine,Beginner,Back,Wrist Flexors,Preacher curls,36.45,2347.02,0.5,1.0,0.53,0.71,1973.4,75.91,695.78,8.23e+19,Medium,36.45017321556756,958.0
51,Male,48.78,1.77,199,155,74,1,962,Yoga,17,3.5,2,1,15.6,2,386.5,154.62,103.17,1261,Other,Dinner,Paleo,30.48,2402.79,245.88,496.5,Grilled,39.22,38.6,2.2,Dragon Flags,4,16,Improves unilateral leg strength and balance,335.2,"Full Body, Core, Shoulders",None or Dumbbells,Intermediate,Back,Lower Chest,Incline cable crossovers,15.57,3093.01,0.5,3.17,0.65,0.78,299.15,40.25,978.78,6.08e+19,Low,15.57023843723068,962.0
32,Male,67.93,1.92,168,165,54,1,1426,Strength,22,3.5,2,1,18.4,4,234.46,93.88,63.04,1931,Other,Snack,Vegan,38.31,2350.9,5.76,130.38,Raw,45.45,58.21,4.4,Tricep Extensions,4,15,Targets lower abs,368.08,"Lower Chest, Triceps","Bench, Barbell",Beginner,Arms,Middle,Standing calf raises,18.43,1880.72,0.5,1.38,0.98,0.99,505.4,53.11,1060.07,1.31e+20,Very High,18.42719184027778,1426.0
19,Female,72.3,1.75,169,140,64,1,864,Yoga,27,1.7,4,2,23.6,2,165.5,66.1,43.89,2047,Other,Breakfast,Low-Carb,6.55,1717.9,299.36,405.6,Steamed,23.82,8.28,3.0,Turkish Get-ups,5,22,Builds lower body power and endurance,336.89,"Quadriceps, Glutes",Cable Machine,Advanced,Arms,Upper,Barbell rows,23.61,1321.41,0.5,0.91,0.73,0.83,1183.0,53.13,808.54,6.33e+19,Low,23.60816326530612,864.0
43,Female,54.42,1.72,173,160,71,1,1349,HIIT,23,2.3,4,2,18.4,3,242.42,96.76,64.39,1376,Other,Snack,Low-Carb,46.08,743.46,189.47,194.87,Fried,54.19,54.66,4.8,Frog Jumps,4,22,Improves cardiovascular fitness,328.57,"Quadriceps, Hamstrings, Glutes",Pull-up Bar,Beginner,Back,Lateral,Incline dumbbell press,18.4,1936.23,0.5,1.78,0.87,0.92,27.36,41.82,670.28,5.16e+19,Low,18.395078420767984,1349.0
34,Female,53.6,1.52,190,132,60,1,753,Yoga,30,2.2,3,1,23.2,3,223.14,89.34,59.04,1674,Other,Dinner,Keto,31.55,615.92,185.18,322.59,Baked,21.14,107.44,4.7,Step-ups,5,25,Strengthens back and legs,344.25,"Legs, Shoulders, Core",Cable Machine or Resistance Band,Advanced,Chest,Anterior,Barbell squats,23.2,1781.28,0.5,1.67,0.56,0.7,920.92,37.65,784.89,7.55e+19,Medium,23.1994459833795,753.0
28,Female,55.86,1.5,193,128,56,2,2774,HIIT,27,2.7,5,3,24.8,3,161.18,63.78,43.14,1664,Other,Lunch,Paleo,10.21,1524.31,276.16,202.36,Steamed,38.53,27.14,4.0,Plyo Squats,5,20,Strengthens core and improves mobility,327.79,"Shoulders, Triceps",Pull-up Bar,Advanced,Shoulders,Anterior,Lateral raises,24.83,1288.1,0.5,1.14,0.53,0.66,-1110.2,40.96,1271.83,5.06e+19,Low,24.826666666666668,1387.0
40,Male,56.65,1.78,198,153,57,2,2083,Strength,22,2.7,5,3,17.9,3,220.66,88.1,58.41,1528,Other,Breakfast,Keto,28.95,241.88,252.22,173.25,Steamed,58.66,81.26,2.6,Push Ups,4,18,Builds chest strength,334.17,Triceps,Cable Machine,Advanced,Shoulders,Quads,Wrist curl,17.88,1760.73,0.5,1.56,0.68,0.77,-554.6,44.23,1189.65,5.93e+19,Low,17.87968690821866,1041.5
52,Female,50.02,1.78,170,132,67,1,1027,HIIT,21,2.3,2,1,15.8,3,282.65,113.02,74.93,1367,Other,Breakfast,Vegetarian,28.97,230.47,33.8,255.81,Grilled,41.73,105.43,3.7,Bird Dogs,4,25,Builds unilateral leg strength,351.3,Full Core,Low Bar or TRX,Beginner,Arms,Grip Strength,Seated calf raises,15.79,2257.05,0.5,2.26,0.64,0.78,340.37,39.42,597.21,8.92e+19,High,15.787148087362707,1027.0
41,Female,66.86,1.69,187,142,68,1,507,Yoga,25,3.4,2,1,23.4,3,208.17,83.16,55.76,1721,Other,Breakfast,Vegetarian,9.3,942.64,148.38,333.68,Fried,36.96,113.19,4.9,Squats,5,22,Improves shoulder mobility and posture,350.18,Calves,Low Bar or TRX,Beginner,Arms,Grip Strength,Incline dumbbell press,23.41,1667.16,0.5,1.24,0.62,0.76,1213.72,50.16,539.28,8.69e+19,High,23.409544483736568,507.0
40,Male,72.14,1.6,173,130,67,1,574,Yoga,29,1.9,3,1,28.2,4,178.67,72.04,48.23,1944,Other,Snack,Paleo,43.53,735.63,128.83,424.22,Fried,43.48,101.4,1.6,Deadlifts,4,18,Targets biceps and forearms,357.13,"Lower Back, Glutes",None or Dumbbells,Beginner,Abs,Upper,Bicep Curls,28.18,1436.91,0.5,1.0,0.6,0.75,1370.32,51.3,621.41,1.02e+20,High,28.179687499999996,574.0
44,Female,69.37,1.75,192,155,69,1,679,Yoga,29,2.1,3,1,22.6,3,226.62,91.2,60.66,1951,Other,Lunch,Paleo,46.57,2494.99,177.08,280.27,Baked,34.68,108.69,3.8,Deadlifts,4,19,Activates and strengthens glutes,348.68,Core,Resistance Band,Intermediate,Shoulders,Middle,Dumbbell flyes,22.65,1817.22,0.5,1.31,0.7,0.81,1271.82,49.12,718.28,8.39e+19,High,22.65142857142857,679.0
26,Female,74.05,1.66,177,125,72,1,799,Cardio,27,2.2,2,1,26.9,3,206.93,82.15,54.78,2033,Other,Dinner,Balanced,8.68,1014.69,299.17,347.89,Grilled,56.91,61.57,1.2,Lunges,4,15,Improves unilateral leg strength and balance,334.7,"Core, Lower Back",Pull-up Bar,Advanced,Legs,Lats,Romanian deadlifts,26.87,1649.34,0.5,1.11,0.5,0.71,1233.66,54.22,609.15,6e+19,Low,26.872550442734795,799.0
51,Male,109.44,1.78,182,157,64,1,653,HIIT,35,3.3,3,1,34.5,3,180.09,71.87,48.24,2858,Other,Breakfast,Vegetarian,28.37,136.64,242.92,142.42,Baked,12.29,19.5,4.8,Push-ups,5,19,Improves coordination and cardiovascular health,345.38,"Lower Chest, Triceps",Wall,Advanced,Arms,Lower,Preacher curls,34.54,1442.0,0.5,0.66,0.79,0.86,2205.19,71.14,373.01,7.76e+19,Medium,34.54109329630097,653.0
46,Female,60.19,1.68,165,147,62,1,1254,Strength,24,2.5,4,2,21.3,2,249.6,100.12,66.47,1578,Other,Breakfast,Vegetarian,16.31,1297.63,52.42,123.99,Roasted,28.74,35.96,1.1,Bear Crawls,4,23,Strengthens triceps and chest,350.59,Triceps,Kettlebell,Beginner,Abs,Wrist Extensors,Face pulls,21.33,1997.11,0.5,1.66,0.83,0.89,324.16,45.55,813.37,8.77e+19,High,21.325821995464857,1254.0
20,Female,55.0,1.6,172,168,67,1,1073,Cardio,27,3.2,4,2,21.5,3,320.73,129.97,86.21,1656,Other,Breakfast,Paleo,18.87,1849.34,246.9,200.74,Baked,46.95,18.91,1.5,Tricep Dips,5,25,Strengthens core and improves mobility,363.38,"Glutes, Hamstrings",Bench or Sturdy Surface,Intermediate,Back,Middle,Bent-over lateral raises,21.48,2578.69,0.5,2.36,0.97,0.98,582.59,40.34,813.97,1.18e+20,Very High,21.484374999999996,1073.0
42,Male,48.48,1.5,173,131,63,1,1517,HIIT,18,1.5,3,2,21.6,3,267.02,106.52,70.6,1233,Other,Dinner,Balanced,11.31,2345.54,159.59,225.02,Fried,15.78,45.23,5.0,Push-ups,4,20,Improves core stability and upper body strength,365.62,Full Core,Dumbbells or Barbell,Intermediate,Forearms,Posterior,Incline dumbbell flyes,21.55,2129.56,0.5,2.2,0.61,0.75,-283.74,39.83,840.93,1.24e+20,Very High,21.546666666666667,1517.0
29,Male,86.07,1.65,183,128,71,2,1294,Yoga,34,3.5,4,3,31.6,3,193.04,78.03,51.7,2350,Other,Breakfast,Low-Carb,34.96,199.02,261.95,153.37,Roasted,27.87,104.07,4.0,Renegade Rows,5,17,Strengthens back and legs,348.17,"Legs, Shoulders, Core",Cable Machine,Advanced,Arms,Grip Strength,Hammer curls,31.61,1549.58,0.5,0.91,0.51,0.7,1056.2,56.44,1155.92,8.29e+19,Medium,31.614325068870524,647.0
30,Female,121.88,2.0,179,160,60,1,892,Yoga,31,3.3,4,2,30.5,3,239.2,95.81,64.64,3268,Other,Snack,Balanced,40.36,2374.44,153.6,286.25,Roasted,41.87,26.17,4.6,Leg Raises,5,21,Builds lower body power,349.74,"Core, Lower Back",Bench or Step,Intermediate,Forearms,Lateral,Donkey kicks,30.47,1921.8,0.5,0.79,0.84,0.89,2375.94,84.39,867.36,8.6e+19,High,30.47,892.0
39,Male,61.16,1.64,195,127,54,1,838,Cardio,23,3.2,3,1,22.7,3,414.15,165.66,110.51,1680,Other,Snack,Balanced,30.51,681.53,144.33,275.32,Boiled,5.08,38.09,3.4,Decline Push-ups,5,20,Targets obliques and improves core rotation,339.31,"Quadriceps, Hamstrings, Glutes",Parallel Bars or Chair,Intermediate,Shoulders,Wrist Flexors,Hanging leg raises,22.74,3313.83,0.5,2.71,0.52,0.65,842.48,47.02,644.69,6.71e+19,Medium,22.73944080904224,838.0
19,Male,56.9,1.87,178,138,70,1,545,Cardio,22,3.7,3,1,16.3,3,274.53,110.92,74.2,1640,Other,Dinner,Vegetarian,42.12,1839.93,166.9,339.75,Baked,39.21,22.66,3.4,Dead Bugs,4,19,Strengthens lower body,333.23,"Triceps, Chest",None or Dumbbells,Beginner,Arms,Middle,Dumbbell rows,16.27,2209.6,0.5,1.95,0.63,0.78,1094.9,44.55,413.21,5.79e+19,Low,16.27155480568503,545.0
47,Female,62.16,1.54,190,131,61,2,2797,HIIT,31,2.7,4,3,26.2,3,228.33,89.99,60.54,1863,Other,Snack,Keto,22.69,1391.22,5.09,255.41,Fried,7.5,103.58,1.5,Face Pulls,4,17,Builds explosive upper body power,350.6,"Legs, Core","Bench, Barbell",Beginner,Abs,Lateral,Dumbbell front raises,26.21,1818.14,0.5,1.45,0.54,0.69,-934.08,42.86,1367.34,8.77e+19,High,26.210153482880756,1398.5
54,Female,83.77,1.86,168,142,56,2,1200,Yoga,28,3.5,5,3,24.2,2,460.89,184.15,123.12,2501,Other,Snack,Paleo,42.99,711.13,172.71,376.29,Fried,16.33,74.49,2.1,Mountain Climbers,5,15,Improves posture and strengthens upper back,338.47,"Upper Back, Rear Deltoids",Low Bar or TRX,Beginner,Shoulders,Posterior,Military press,24.21,3688.24,0.5,2.2,0.77,0.84,1300.72,60.7,1042.49,6.58e+19,Medium,24.213781940108678,600.0
31,Male,63.39,1.8,166,156,66,1,518,Cardio,23,2.6,2,1,19.6,2,232.13,92.6,61.58,1759,Other,Snack,Balanced,15.47,189.38,144.59,131.16,Grilled,57.91,110.05,3.2,Reverse Lunges,4,22,Builds lower body power,340.94,"Quadriceps, Hamstrings, Glutes",Bench or Sturdy Surface,Advanced,Abs,Wrist Extensors,Pull-ups,19.56,1853.14,0.5,1.46,0.91,0.94,1240.74,49.0,402.31,6.98e+19,Medium,19.564814814814813,518.0
29,Female,87.73,1.93,186,143,66,2,1943,Cardio,27,3.5,5,3,23.6,3,387.22,153.77,102.95,2645,Other,Lunch,Paleo,0.68,1772.4,162.66,254.94,Grilled,27.0,98.47,3.6,Renegade Rows,4,22,Strengthens lower abs,373.47,"Shoulders, Upper Back",Wall,Beginner,Shoulders,Wrist Extensors,Bent-over rows,23.55,3090.51,0.5,1.75,0.64,0.77,701.7,64.07,1396.78,1.47e+20,Very High,23.552310129130984,971.5
47,Male,89.79,1.84,168,159,65,1,1914,HIIT,28,3.6,3,2,26.5,3,306.48,123.27,82.46,2281,Other,Dinner,Vegetarian,40.86,840.16,26.2,409.21,Fried,48.91,89.88,3.2,Lat Pulldowns,5,21,Builds unilateral leg strength,374.0,"Obliques, Core",Parallel Bars or Chair,Advanced,Shoulders,Wrist Flexors,Preacher curls,26.52,2461.14,0.5,1.37,0.91,0.95,367.0,64.44,1084.6,1.49e+20,Very High,26.521148393194707,1914.0
